Song_Track,Composer,Genre,Album,Artist,Unit_Price_dollars,Total_runtime_min,song_size_Mb
Jingo,M.Babatunde Olantunji,Rock,Santana - As Years Go By,Santana,0.99,9.88,18.82
The Angel And The Gambler,Steve Harris,Rock,Virtual XI,Iron Maiden,0.99,9.88,22.61
The Outlaw Torn,"James Hetfield, Lars Ulrich",Metal,Load,Metallica,0.99,9.81,18.39
Blind Curve: Vocal Under A Bloodlight / Passing Strangers / Mylo / Perimeter Walk / Threshold,"Kelly, Mosley, Rothery, Trewaves",Rock,Misplaced Childhood,Marillion,0.99,9.5,17.72
Dream Of Mirrors,Janick Gers/Steve Harris,Rock,Brave New World,Iron Maiden,0.99,9.35,21.41
Riviera Paradise,Stevie Ray Vaughan,Blues,In Step,Stevie Ray Vaughan & Double Trouble,0.99,8.81,16.43
She Wears Black,G Harvey/R Hope-Taylor,Jazz,Blue Moods,Incognito,0.99,8.81,16.8
Locomotive,Slash/W. Axl Rose,Metal,Use Your Illusion II,Guns N' Roses,0.99,8.71,16.44
Won't Get Fooled Again (Full Length Version),John Entwistle/Pete Townshend,Rock,My Generation - The Very Best Of The Who,The Who,0.99,8.56,16.07
Flight Of The Rat,"Blackmore, Gillan, Glover, Lord, Paice",Rock,Deep Purple In Rock,Deep Purple,0.99,7.97,14.84
Bye Bye Blackbird,Miles Davis,Jazz,The Essential Miles Davis [Disc 1],Miles Davis,0.99,7.93,14.83
Nefertiti,Miles Davis,Jazz,The Essential Miles Davis [Disc 2],Miles Davis,0.99,7.89,14.76
Heaven Can Wait,Steve Harris,Metal,Somewhere in Time,Iron Maiden,0.99,7.36,10.11
Heaven Can Wait,Unknown,Rock,Live At Donington 1992 (Disc 2),Iron Maiden,0.99,7.34,10.09
Leave,Bill Berry-Peter Buck-Mike Mills-Michael Stipe,Rock,New Adventures In Hi-Fi,R.E.M.,0.99,7.3,13.76
Blood Brothers,Steve Harris,Metal,Rock In Rio [CD1],Iron Maiden,0.99,7.26,16.62
Blood Brothers,Steve Harris,Rock,Brave New World,Iron Maiden,0.99,7.24,16.57
Hard Lovin' Man,"Blackmore, Gillan, Glover, Lord, Paice",Rock,Deep Purple In Rock,Deep Purple,0.99,7.19,13.29
Fear Of The Dark,Steve Harris,Metal,A Real Live One,Iron Maiden,0.99,7.19,6.59
Layla,Clapton/Gordon,Blues,The Cream Of Clapton,Eric Clapton,0.99,7.18,13.46
Light My Fire,"Robby Krieger, Ray Manzarek, John Densmore, Jim Morrison",Rock,The Doors,The Doors,0.99,7.14,13.32
Voce Nao Entende Nada - Cotidiano,Unknown,Latin,Minha Historia,Chico Buarque,0.99,7.03,13.24
Se Liga,Unknown,Hip Hop/Rap,Os Cães Ladram Mas A Caravana Não Pára,Planet Hemp,0.99,6.84,12.93
Powerslave,Dickinson,Metal,Powerslave,Iron Maiden,0.99,6.8,9.34
Jerusalem,Roy Z,Metal,Chemical Wedding,Bruce Dickinson,0.99,6.71,12.58
Pot-Pourri N.º 4,Unknown,Bossa Nova,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius,0.99,6.54,12.52
Without You,Van Halen,Rock,Van Halen III,Van Halen,0.99,6.5,12.03
Só Tinha De Ser Com Você,Vários,Latin,Chill: Brazil (Disc 2),Antônio Carlos Jobim,0.99,6.49,12.48
Construção / Deus Lhe Pague,Unknown,Latin,Minha Historia,Chico Buarque,0.99,6.38,12.09
Manifest Destiny,Toby Smith,Electronica/Dance,The Return Of The Space Cowboy,Jamiroquai,0.99,6.37,12.09
Santa Clara Clareou,Unknown,Latin,Jorge Ben Jor 25 Anos,Jorge Ben,0.99,6.33,11.94
Brave New World,Bruce Dickinson/David Murray/Steve Harris,Rock,Brave New World,Iron Maiden,0.99,6.32,14.46
Sister Morphine,Faithfull/Jagger/Richards,Rock,No Security,The Rolling Stones,0.99,6.27,11.77
O Estrangeiro,Unknown,Latin,Minha Historia,Chico Buarque,0.99,6.24,11.9
Infinite Dreams,Steve Harris,Metal,Seventh Son of a Seventh Son,Iron Maiden,0.99,6.15,8.45
Os Alquimistas Estão Chegando,Unknown,Latin,Jorge Ben Jor 25 Anos,Jorge Ben,0.99,6.12,11.73
2 Minutes To Midnight,Smith/Dickinson,Metal,Live After Death,Iron Maiden,0.99,6.11,8.39
