,rank,name,net_worth (in billion $),age,country / territory,source,industry,"('age', 'net_worth (in billion $)')"
0,1.0,Bernard Arnault & family,211.0,74.0,France,LVMH,Fashion & Retail,74.0
1,2.0,Elon Musk,180.0,51.0,United States,"Tesla, SpaceX",Automotive,51.0
2,3.0,Jeff Bezos,114.0,59.0,United States,Amazon,Technology,59.0
3,4.0,Larry Ellison,107.0,78.0,United States,Oracle,Technology,78.0
4,5.0,Warren Buffett,106.0,92.0,United States,Berkshire Hathaway,Finance & Investments,92.0
5,6.0,Bill Gates,104.0,67.0,United States,Microsoft,Technology,67.0
6,7.0,Michael Bloomberg,94.5,81.0,United States,Bloomberg LP,Media & Entertainment,81.0
7,8.0,Carlos Slim Helu & family,93.0,83.0,Mexico,Telecom,Telecom,83.0
8,9.0,Mukesh Ambani,83.4,65.0,India,Diversified,Diversified,65.0
9,10.0,Steve Ballmer,80.7,67.0,United States,Microsoft,Technology,67.0
10,11.0,Francoise Bettencourt Meyers & family,80.5,69.0,France,L'Oréal,Fashion & Retail,69.0
11,12.0,Larry Page,79.2,50.0,United States,Google,Technology,50.0
12,13.0,Amancio Ortega,77.3,87.0,Spain,Zara,Fashion & Retail,87.0
13,14.0,Sergey Brin,76.0,49.0,United States,Google,Technology,49.0
14,15.0,Zhong Shanshan,68.0,68.0,China,"Beverages, pharmaceuticals",Food & Beverage,68.0
15,16.0,Mark Zuckerberg,64.4,38.0,United States,Facebook,Technology,38.0
16,17.0,Charles Koch,59.0,87.0,United States,Koch Industries,Diversified,87.0
17,17.0,Julia Koch & family,59.0,60.0,United States,Koch Industries,Diversified,60.0
18,19.0,Jim Walton,58.8,74.0,United States,Walmart,Fashion & Retail,74.0
19,20.0,Rob Walton,57.6,78.0,United States,Walmart,Fashion & Retail,78.0
20,21.0,Alice Walton,56.7,73.0,United States,Walmart,Fashion & Retail,73.0
21,22.0,David Thomson & family,54.4,65.0,Canada,Media,Media & Entertainment,65.0
22,23.0,Michael Dell,50.1,58.0,United States,Dell Technologies,Technology,58.0
23,24.0,Gautam Adani,47.2,60.0,India,"Infrastructure, commodities",Diversified,60.0
24,25.0,Phil Knight & family,45.1,85.0,United States,Nike,Fashion & Retail,85.0
25,26.0,Zhang Yiming,45.0,39.0,China,TikTok,Technology,39.0
26,27.0,Dieter Schwarz,42.9,83.0,Germany,Retail,Fashion & Retail,83.0
27,28.0,François Pinault & family,40.1,86.0,France,Luxury goods,Fashion & Retail,86.0
28,29.0,Klaus-Michael Kuehne,39.1,85.0,Germany,Shipping,Logistics,85.0
29,30.0,Giovanni Ferrero,38.9,58.0,Italy,"Nutella, chocolates",Food & Beverage,58.0
30,31.0,Jacqueline Mars,38.3,83.0,United States,"Candy, pet food",Food & Beverage,83.0
31,31.0,John Mars,38.3,87.0,United States,"Candy, pet food",Food & Beverage,87.0
32,33.0,Li Ka-shing,38.0,94.0,Hong Kong,Diversified,Diversified,94.0
33,34.0,Ma Huateng,35.3,51.0,China,Internet media,Technology,51.0
34,35.0,Ken Griffin,35.0,54.0,United States,Hedge funds,Finance & Investments,54.0
35,35.0,Miriam Adelson & family,35.0,77.0,United States,Casinos,Gambling & Casinos,77.0
36,37.0,Mark Mateschitz,34.7,30.0,Austria,Red Bull,Food & Beverage,30.0
37,38.0,Robin Zeng,33.4,54.0,Hong Kong,Batteries,Automotive,54.0
38,39.0,Tadashi Yanai & family,32.6,74.0,Japan,Fashion retail,Fashion & Retail,74.0
39,40.0,Len Blavatnik,32.1,65.0,United States,"Music, chemicals",Diversified,65.0
40,41.0,Alain Wertheimer,31.6,74.0,France,Chanel,Fashion & Retail,74.0
41,41.0,Gerard Wertheimer,31.6,72.0,France,Chanel,Fashion & Retail,72.0
42,43.0,Gianluigi Aponte,31.2,82.0,Switzerland,Shipping,Logistics,82.0
43,43.0,Rafaela Aponte-Diamant,31.2,78.0,Switzerland,Shipping,Logistics,78.0
44,45.0,Colin Zheng Huang,30.2,43.0,China,E-commerce,Technology,43.0
45,46.0,Reinhold Wuerth & family,29.7,87.0,Germany,Fasteners,Manufacturing,87.0
46,47.0,Lee Shau Kee,29.5,95.0,Hong Kong,Real estate,Real Estate,95.0
47,48.0,Jeff Yass,28.5,64.0,United States,"Trading, investments",Finance & Investments,64.0
48,49.0,Jim Simons,28.1,84.0,United States,Hedge funds,Finance & Investments,84.0
49,50.0,Stephen Schwarzman,27.8,76.0,United States,Investments,Finance & Investments,76.0
50,51.0,Susanne Klatten,27.4,60.0,Germany,"BMW, pharmaceuticals",Automotive,60.0
51,52.0,Gina Rinehart,27.0,69.0,Australia,Mining,Metals & Mining,69.0
52,53.0,William Lei Ding,26.7,51.0,China,Online games,Technology,51.0
53,54.0,Germán Larrea Mota Velasco & family,26.6,69.0,Mexico,Mining,Metals & Mining,69.0
54,55.0,Shiv Nadar,25.6,77.0,India,Software services,Technology,77.0
55,56.0,Low Tuck Kwong,25.5,74.0,Indonesia,Coal,Energy,74.0
56,57.0,Thomas Peterffy,25.3,78.0,United States,Discount brokerage,Finance & Investments,78.0
57,58.0,Andrey Melnichenko & family,25.2,51.0,Russia,"Fertilizers, coal",Metals & Mining,51.0
58,59.0,Stefan Quandt,24.6,56.0,Germany,BMW,Automotive,56.0
59,60.0,MacKenzie Scott,24.4,52.0,United States,Amazon,Technology,52.0
60,61.0,R. Budi Hartono,24.2,82.0,Indonesia,"Banking, tobacco",Finance & Investments,82.0
61,62.0,Vladimir Potanin,23.7,62.0,Russia,Metals,Metals & Mining,62.0
62,63.0,Jack Ma,23.5,58.0,China,E-commerce,Technology,58.0
63,64.0,He Xiangjian & family,23.4,80.0,China,Home appliances,Manufacturing,80.0
64,65.0,Michael Hartono,23.1,83.0,Indonesia,"Banking, tobacco",Manufacturing,83.0
65,65.0,Iris Fontbona & family,23.1,80.0,Chile,Mining,Metals & Mining,80.0
66,67.0,James Ratcliffe,22.9,70.0,United Kingdom,Chemicals,Manufacturing,70.0
67,68.0,Cyrus Poonawalla,22.6,81.0,India,Vaccines,Healthcare,81.0
68,69.0,Masayoshi Son,22.4,65.0,Japan,"Internet, telecom",Telecom,65.0
69,70.0,Vladimir Lisin,22.1,66.0,Russia,"Steel, transport",Metals & Mining,66.0
70,71.0,Emmanuel Besnier,22.0,52.0,France,Cheese,Food & Beverage,52.0
71,72.0,Leonid Mikhelson & family,21.6,67.0,Russia,"Gas, chemicals",Energy,67.0
72,72.0,Abigail Johnson,21.6,61.0,United States,Fidelity,Finance & Investments,61.0
73,74.0,Wang Wei,21.2,52.0,China,Package delivery,Service,52.0
74,74.0,Lukas Walton,21.2,36.0,United States,Walmart,Fashion & Retail,36.0
75,76.0,Jensen Huang,21.1,60.0,United States,Semiconductors,Technology,60.0
76,77.0,Leonard Lauder,21.0,90.0,United States,Estee Lauder,Fashion & Retail,90.0
77,77.0,Takemitsu Takizaki,21.0,77.0,Japan,Sensors,Manufacturing,77.0
